1,Ocean
2,Ocean
3,Ginger Island Pond
3,Ginger Island River
4,Forest River
4,Town River
5,Mountain Lake
6,Mountain Lake
6,Secret Woods Pond
6,Sewer
7,Forest River
7,Town River
7,Secret Woods Pond
7,Witch's Swamp
8,Secret Woods Pond
8,Witch's Swamp
9,Forest River
9,Mountain Lake
10,Forest River
11,Ocean
12,Ocean
12,Ginger Island Ocean
13,Mines 20F
13,Mines 60F
14,Forest Waterfalls
15,Ocean
16,Ocean
17,Mines 60F
18,Mountain Lake
19,Mines 100F
19,Volcano Caldera
20,Forest River
20,Town River
20,Mountain Lake
21,Ginger Island Ocean
22,Mountain Lake
22,Forest Pond
22,Ginger Island Pond
22,Ginger Island River
23,Ocean
23,Ginger Island Ocean
24,Town River
24,Forest River
24,Forest Pond
24,Mountain Lake
25,Town River
25,Forest River
25,Forest Pond
26,Ocean
26,Ginger Island Ocean
27,Town River
27,Forest River
27,Mountain Lake
28,Ocean
29,Ocean
30,Forest River
30,Town River
30,Forest Waterfalls
31,Desert
32,Ocean
33,Desert
34,Ocean
35,Forest River
35,Town River
36,Mutant Bug Lair
37,Town River
37,Forest Pond
38,Ocean
39,Pirate Cove
40,Mines 20F
41,Mountain Lake
42,Forest River
42,Town River
43,Ocean
43,Ginger Island Ocean
44,Forest River
44,Town River
45,Ocean
45,Ginger Island Ocean
46,Ocean
46,Ginger Island Ocean
47,Witch's Swamp
48,Forest River
48,Town River
48,Forest Pond
48,Mountain Lake
49,Secret Woods Pond
